fault_id,subsystem,severity,short_description,long_description,pilot_actions
FLT-001,Propulsion,critical,Engine Stall,"In-flight loss of stable engine combustion resulting in rapid thrust decay or complete flameout during maneuvering, climb, or high-altitude operation.","Set appropriate airstart conditions, attempt relight per checklist, minimize maneuvering, and prepare for diversion or ejection if relight fails."
FLT-002,Propulsion,high,FADEC Fault,"In-flight FADEC malfunction causes uncommanded thrust changes, degraded throttle response, protective mode entry, or engine limit exceedance warnings.","Stabilize throttle inputs, avoid abrupt power changes, monitor engine indications, select standby or degraded mode if available, and recover to base."
FLT-003,Fuel System,critical,Fuel Leak,"Fuel system leak develops in flight, causing abnormal fuel quantity decrease, possible imbalance, and elevated fire risk.","Monitor fuel state and imbalance, shut off affected feed path if possible, avoid afterburner, declare emergency, and divert to nearest suitable airfield."
FLT-004,Fuel System,high,Feed Press Low,"In-flight fuel feed pressure drops below engine demand, increasing risk of surge, stall, or flameout during high-power operation.","Reduce power demand, avoid negative-g or aggressive maneuvering, monitor engine response, and recover using the shortest safe route."
FLT-005,Electrical,high,Gen Failure,"The main generator fails in flight, forcing transfer to battery or emergency buses and reducing available electrical loads.","Confirm power source transfer, shed nonessential avionics, minimize sensor and mission loads, and land before backup power margins are exhausted."
FLT-006,Electrical,high,Main Bus Fault,"An in-flight main electrical bus fault causes intermittent or sustained loss of power to multiple downstream avionics or aircraft systems.","Reset affected bus only if checklist permits, prioritize essential flight instruments, disable nonessential equipment, and terminate the mission."
FLT-007,Flight Control,critical,Actuator Jam,"A primary flight control actuator jams in flight, causing asymmetric control response, restricted maneuver authority, or increased pilot workload.","Stop aggressive inputs, hold a controllable flight regime, use trim and remaining control authority, and recover for a straight-in landing if feasible."
FLT-008,Flight Control,high,Air Data Fault,"Air data or flight control sensing becomes unreliable in flight, producing false speed, altitude, or control-law cues.","Cross-check standby instruments, revert to alternate or degraded control mode if available, fly conservative pitch-power references, and divert."
FLT-009,Hydraulic,critical,Hydraulic Leak,"An in-flight hydraulic leak reduces available fluid and pressure, threatening powered flight controls, landing gear actuation, or braking.","Monitor pressure trend, conserve hydraulic demand, avoid unnecessary configuration changes, and plan landing with alternate extension procedures."
FLT-010,Hydraulic,high,Low Hyd Press,"Hydraulic pressure drops in flight because of pump degradation or internal leakage, causing sluggish or partial system response.","Reduce maneuver loads, maintain stable airspeed, confirm backup system status, and recover before further hydraulic degradation occurs."
FLT-011,RPC,medium,RPC Fault,"The radar processor computer fails in flight, leading to loss of radar modes, unreliable tracks, or tactical display corruption.","Recycle radar mode if permitted, disregard suspect radar tracks, transition to visual or alternate sensor tactics, and continue only if mission rules allow."
FLT-012,NAVC,high,NAVC Fault,"The navigation computer degrades or fails in flight, causing invalid position, steering, or timing data to the mission system.","Cross-check backup navigation sources, avoid reliance on coupled steering modes, switch to alternate navigation mode if available, and divert if positional confidence is lost."
FLT-013,ECS,critical,Cabin Press Loss,"Cockpit pressurization is lost in flight, increasing hypoxia risk and reducing safe altitude margin.","Don oxygen immediately, initiate emergency descent as required, limit mission continuation, and recover at a breathable altitude."
FLT-014,ECS,high,Avionics Overheat,"In-flight ECS cooling shortfall causes avionics bay overheating, increasing the risk of computer resets or mission system shutdowns.","Reduce nonessential avionics load, monitor overheat indications, avoid prolonged high-heat operating modes, and recover before cascading avionics failures occur."
FLT-015,Landing Gear,high,Gear Unsafe,"Landing gear indicates unsafe status in flight after retraction or during approach setup, with possible partial extension or uplock failure.","Hold to troubleshoot per checklist, attempt alternate gear cycling if permitted, prepare for abnormal landing, and coordinate emergency services."
FLT-016,DPC,high,DPC Failure,"The display processor computer fails in flight, causing loss or corruption of head-down display pages and caution formatting.","Transfer attention to standby instruments and remaining displays, declutter nonessential pages, and terminate tactical tasking if situational awareness is degraded."
FLT-017,MMC,high,MMC Fault,"The mission management computer suffers an in-flight processing or software fault, degrading sensor fusion, mode management, and tactical workflow coordination.","Freeze configuration changes if the system is unstable, cross-check data on remaining displays, simplify mission tasking, and recover if core mission logic is unreliable."
FLT-018,SMC,medium,SMC Fault,"The stores management computer fails in flight, causing unreliable weapon station status, release inhibit issues, or incorrect inventory presentation.","Safe the armament system as required, avoid weapon employment from suspect stations, confirm remaining stores status conservatively, and continue only within safety constraints."
FLT-019,CCC,medium,CCC Fault,"The communication control computer fails in flight, disrupting radio tuning, data link routing, or communication status reporting.","Select backup radio paths if available, reduce reliance on data link coordination, use prebriefed comm procedures, and recover if communication loss compromises mission safety."
