fault_id,subsystem,severity,short_description,long_description,pilot_actions
HYD-001,Hydraulic,critical,Hydraulic Leak,"An in-flight hydraulic leak reduces available fluid and pressure, threatening powered flight controls, landing gear actuation, or braking.","Monitor pressure trend, conserve hydraulic demand, avoid unnecessary configuration changes, and plan landing with alternate extension procedures."
HYD-002,Hydraulic,high,Low Hyd Press,"Hydraulic pressure drops in flight because of pump degradation or internal leakage, causing sluggish or partial system response.","Reduce maneuver loads, maintain stable airspeed, confirm backup system status, and recover before further hydraulic degradation occurs."
HYD-003,Hydraulic,high,Fluid Contam,"Hydraulic fluid contamination causes erratic valve or actuator response in flight, leading to inconsistent control feel and unreliable subsystem actuation.","Avoid rapid configuration changes, monitor for asymmetric response, keep the aircraft in a stable regime, and recover before contamination effects spread."
HYD-004,Hydraulic,high,Pump Failure,"A hydraulic pump fails in flight, reducing available pressure margin and increasing dependency on remaining circuits or backup sources.","Minimize high-demand maneuvers, confirm alternate pressure source status, and recover before additional hydraulic loads are required."
HYD-005,Hydraulic,medium,Accum Low,"Hydraulic accumulator charge is lost in flight, weakening transient pressure support for braking, emergency extension, or actuator demand spikes.","Avoid rapid configuration changes, expect degraded backup response, and brief for limited emergency hydraulic performance on landing."
HYD-006,Hydraulic,high,Reservoir Low,"Hydraulic reservoir quantity drops in flight, reducing sustained system endurance and increasing aeration or cavitation risk.","Conserve hydraulic demand, avoid unnecessary system cycling, and recover before fluid loss degrades control or landing functions further."
HYD-007,Hydraulic,high,Iso Valve Fail,"A hydraulic isolation valve fails in flight, preventing proper segregation or backup routing between circuits during abnormal operation.","Avoid aggressive maneuvers, assume reduced redundancy, and recover before another hydraulic fault removes remaining capability."
HYD-008,Hydraulic,medium,Hyd Overheat,"Hydraulic fluid temperature rises abnormally in flight, degrading fluid performance and increasing the chance of seal or component distress.","Reduce system demand, avoid repeated high-load actuation, and land before overheating drives wider hydraulic degradation."
HYD-009,Hydraulic,high,Servo Bypass,"An actuator or servo develops excessive internal bypass in flight, causing sluggish response even though system pressure remains near nominal.","Treat response as degraded, avoid precise or high-rate maneuvering, and recover while controllability margins remain adequate."
HYD-010,Hydraulic,medium,Backup Hyd Fail,"Emergency or backup hydraulic support becomes unavailable in flight, reducing recovery options if the primary circuit degrades later.","Avoid any nonessential hydraulic demand, assume abnormal landing options are reduced, and recover before a second hydraulic fault occurs."
