fault_id,subsystem,severity,short_description,long_description,pilot_actions
FUEL-001,Fuel System,critical,Fuel Leak,"Fuel system leak develops in flight, causing abnormal fuel quantity decrease, possible imbalance, and elevated fire risk.","Monitor fuel state and imbalance, shut off affected feed path if possible, avoid afterburner, declare emergency, and divert to nearest suitable airfield."
FUEL-002,Fuel System,high,Feed Press Low,"In-flight fuel feed pressure drops below engine demand, increasing risk of surge, stall, or flameout during high-power operation.","Reduce power demand, avoid negative-g or aggressive maneuvering, monitor engine response, and recover using the shortest safe route."
FUEL-003,Fuel System,medium,Transfer Valve,"A fuel transfer valve fails in flight, trapping usable fuel in one tank group and creating imbalance or premature feed limitations.","Monitor imbalance, select alternate transfer mode if available, limit maneuvering that worsens feed issues, and divert before trapped fuel becomes operationally critical."
FUEL-004,Fuel System,medium,Qty Sensor Fail,"A fuel quantity sensing channel fails in flight, causing misleading fuel state, imbalance indications, or unreliable endurance planning.","Cross-check totalizer trends with engine time and tank behavior, use conservative fuel planning, and recover before reserve uncertainty becomes unacceptable."
FUEL-005,Fuel System,high,XFeed Fail,"Crossfeed control fails in flight, preventing normal balancing or alternate feed routing after a tank or line abnormality.","Avoid maneuvers that worsen imbalance, conserve fuel, and divert before the loss of feed flexibility threatens engine supply."
FUEL-006,Fuel System,high,Boost Pump Fail,"A boost pump fails in flight, reducing tank feed margin and increasing susceptibility to pressure loss during maneuvering or low-fuel conditions.","Reduce maneuver severity, avoid negative-g, monitor engine behavior closely, and divert before feed margin is exhausted."
FUEL-007,Fuel System,medium,Fuel Contam,"Fuel contamination reaches the engine feed path in flight, increasing the risk of rough running, filter restriction, or combustion instability.","Reduce power demand, monitor for engine anomalies, and terminate the sortie before contamination causes feed or combustion failure."
FUEL-008,Fuel System,medium,Tank Imbalance,"A tank imbalance develops in flight outside normal control limits, affecting aircraft handling and reducing usable fuel flexibility.","Limit maneuvers that worsen imbalance, apply balancing procedures if available, and divert before controllability or feed risk increases."
FUEL-009,Fuel System,high,Feed Valve Stuck,"A fuel feed shutoff or metering-related valve becomes stuck in flight, restricting normal routing and threatening sustained engine supply.","Hold a stable power setting, avoid configuration changes that increase feed demand, and recover before the restricted path causes flameout risk."
FUEL-010,Fuel System,medium,Vent Fault,"Fuel tank venting degrades in flight, causing abnormal tank pressure behavior, transfer problems, or misleading quantity trends.","Avoid prolonged high-demand operation, monitor quantity behavior conservatively, and land before vent-related feed issues worsen."
