fault_id,subsystem,severity,short_description,long_description,pilot_actions
ELEC-001,Electrical,high,Gen Failure,"The main generator fails in flight, forcing transfer to battery or emergency buses and reducing available electrical loads.","Confirm power source transfer, shed nonessential avionics, minimize sensor and mission loads, and land before backup power margins are exhausted."
ELEC-002,Electrical,high,Main Bus Fault,"An in-flight main electrical bus fault causes intermittent or sustained loss of power to multiple downstream avionics or aircraft systems.","Reset affected bus only if checklist permits, prioritize essential flight instruments, disable nonessential equipment, and terminate the mission."
ELEC-003,Electrical,critical,Batt Bus Low,"Emergency or battery-backed bus voltage decays in flight, threatening essential standby instruments, restart capability, or backup flight-system availability.","Shed all nonessential loads, prioritize recovery and landing, avoid unnecessary system cycling, and assume reduced backup endurance."
ELEC-004,Electrical,high,Conv Rect Fail,"A converter-rectifier unit fails in flight, reducing DC power quality and causing resets or dropouts in dependent avionics.","Shed affected mission equipment, monitor for recurring avionics resets, and recover before essential displays or controls become unstable."
ELEC-005,Electrical,medium,Wire Short,"A wiring short or intermittent harness fault causes localized electrical dropouts, nuisance cautions, or transient system behavior in flight.","Avoid unnecessary switching, isolate nonessential loads if checklist permits, and treat repeated transients as a cue to terminate the mission."
ELEC-006,Electrical,high,AC Bus Fault,"An AC distribution bus fault occurs in flight, removing power from multiple aircraft functions and forcing reconfiguration to remaining sources.","Prioritize essential systems, avoid unnecessary resets, and recover before the remaining power architecture is overloaded."
ELEC-007,Electrical,high,Invtr Fail,"An inverter fails in flight, degrading AC supply quality to equipment that depends on converted power from the DC system.","Monitor instrument and avionics stability, shed affected nonessential loads, and land before degraded converted power affects essentials."
ELEC-008,Electrical,medium,Bus Tie Fail,"Electrical bus-tie control fails in flight, preventing normal load sharing or reconfiguration after another power-system fault.","Avoid provoking additional electrical transients, keep loads conservative, and terminate the sortie with the simplified power configuration."
ELEC-009,Electrical,high,GCU Fault,"The generator control unit behaves incorrectly in flight, causing unstable voltage regulation, nuisance trips, or repeated generator disconnects.","Minimize electrical load changes, avoid cycling the generator repeatedly, and recover if bus stability cannot be maintained."
ELEC-010,Electrical,critical,Ess Bus Fault,"The essential electrical bus is compromised in flight, threatening core flight instruments, control support, or critical avionics availability.","Shed everything nonessential immediately, focus on basic aircraft recovery, and land without delay before essential power is lost."
